brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,trip_to,id
VietJet Air,1341620,22:50,,,01:00,2h 10m,HAN,SGN,Unknown,148
Vietravel Airlines,1393920,21:00,,,23:20,2h 20m,HAN,SGN,Unknown,149
Bamboo Airways,1447964,22:35,,,00:50,2h 15m,HAN,SGN,Unknown,150
Vietravel Airlines,1513710,08:50,,,11:05,2h 15m,HAN,SGN,Unknown,151
Vietravel Airlines,1513710,10:05,,,12:20,2h 15m,HAN,SGN,Unknown,152
Vietravel Airlines,1513710,10:50,,,13:05,2h 15m,HAN,SGN,Unknown,153
Vietravel Airlines,1513710,16:10,,,18:25,2h 15m,HAN,SGN,Unknown,154
Vietravel Airlines,1513710,20:30,,,22:45,2h 15m,HAN,SGN,Unknown,155
VietJet Air,1561136,10:05,,,12:10,2h 5m,HAN,SGN,Unknown,156
Bamboo Airways,1447964,16:30,,,18:45,2h 15m,HAN,SGN,Unknown,157
Bamboo Airways,1576961,07:05,,,09:20,2h 15m,HAN,SGN,Unknown,158
Bamboo Airways,1576961,18:20,,,20:35,2h 15m,HAN,SGN,Unknown,159
Bamboo Airways,1576961,22:35,,,00:50,2h 15m,HAN,SGN,Unknown,160
Vietnam Airlines,1605930,05:00,,,07:10,2h 10m,HAN,SGN,Unknown,161
Vietnam Airlines,1605930,06:00,,,08:10,2h 10m,HAN,SGN,Unknown,162
Vietnam Airlines,1605930,18:30,,,20:40,2h 10m,HAN,SGN,Unknown,163
Vietnam Airlines,1605930,19:00,,,21:10,2h 10m,HAN,SGN,Unknown,164
Vietnam Airlines,1605930,20:00,,,22:10,2h 10m,HAN,SGN,Unknown,165
Vietnam Airlines,1605930,20:30,,,22:40,2h 10m,HAN,SGN,Unknown,166
"Bamboo Airways, VietJet Air",2147718,22:35,,,07:00,8h 25m,HAN,UIH,Unknown,167
"Bamboo Airways, VietJet Air",2147718,20:30,,,07:00,10h 30m,HAN,UIH,Unknown,168
"Vietravel Airlines, VietJet Air",2199604,21:00,,,07:00,10h 0m,HAN,UIH,Unknown,169
"Vietravel Airlines, VietJet Air",2199604,20:30,,,07:00,10h 30m,HAN,UIH,Unknown,170
"Vietravel Airlines, VietJet Air",2199604,16:10,,,07:00,14h 50m,HAN,UIH,Unknown,171
"Vietravel Airlines, Bamboo Airways",2249135,21:00,,,17:45,20h 45m,HAN,UIH,Unknown,172
"Vietravel Airlines, Bamboo Airways",2249135,20:30,,,17:45,21h 15m,HAN,UIH,Unknown,173
VietJet Air,2450350,11:40,,,18:55,31h 15m,HAN,UIH,Unknown,174
VietJet Air,2455206,22:10,,,12:25,14h 15m,HAN,UIH,Unknown,175
