RestaurantID,Restaurant Name,Address,Time,Price
19,"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Nguyễn Thị Nghĩa","16 Nguyễn Thị Nghĩa, P. Bến Thành, Quận 1, TP. HCM",10:00 - 21:45,80.000 - 695.000
20,Bún Ốc Sườn Cô Sáu - Quận 1,"454 Hai Bà Trưng, P. Tân Định , Quận 1, TP. HCM",00:00 - 23:59,30.000 - 35.000
21,,,,
22,,,,
23,,,,
24,Tâm Ký II - Cơm Chiên & Nui Xào - Lương Định Của,"Hẻm 281A Lương Định Của, P. An Phú, Thành Phố Thủ Đức, TP. HCM",08:00 - 21:00,42.000 - 55.000
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,The Coffee Bean & Tea Leaf - Nguyễn Huệ,"101 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 23:59,45.000 - 150.000
31,Chân Gà Su Heo - Chân Gà Sốt Thái,"156 Đường Phạm Đăng Giảng, P. Bình Hưng Hòa, Bình Tân, TP. HCM",08:00 - 23:59,0 - 0
32,Be Shine - Cà Phê Dừa & Trà Sữa - Nguyễn Gia Trí,"213/27 Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",08:00 - 22:00,0 - 0
33,GÀ QUAY & VỊT QUAY THIÊN PHÚC,"367 Nguyễn Văn Tăng, P. Long Thạnh Mỹ, Thành Phố Thủ Đức, TP. HCM",09:00 - 22:00,0 - 0
34,Gon Coffee - Cà Phê Cốt Dừa - Nguyễn Văn Luông Quận 6,"240/35G Nguyễn Văn Luông, Quận 6, TP. HCM",06:00 - 21:30,0 - 0
138,,,,
139,TUTIMI - Milo Dầm - Trà Sữa & Coffee - Nguyễn Tri Phương,"372 Đ. Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",06:30 - 22:45,20.000 - 30.000
140,Cơm Thố Trường An - Đường Số 1,"167 Đường Số 1, P. Bình Trị Đông B, Bình Tân, TP. HCM",09:10 - 14:20 | 16:30 - 20:45,0 - 0
141,Trà Sữa HongKong Baley - Quang Trung,"658 Quang Trung, P. 11, Gò Vấp, TP. HCM",10:00 - 22:40,10.000 - 60.000
142,TEA JOY - Trà & Trà Sữa - Điện Biên Phủ,"250 Đường Điện Biên Phủ, P. Võ Thị Sáu, Quận 3, TP. HCM",07:30 - 22:00,0 - 0
143,Hải - Bún Bò & Hủ Tiếu,"7 Đường 27, P. 6, Gò Vấp, TP. HCM",06:30 - 13:30 | 16:30 - 21:00,10.000 - 40.000
144,,,,
145,Kem Bơ - Trái Cây Tô 251 - Đoàn Văn Bơ,"516 Đoàn Văn Bơ, P. 14, Quận 4, TP. HCM",08:00 - 23:59,10.000 - 25.000
146,Ăn Vặt Dương Gia & Cá Viên Chiên - Dương Quảng Hàm,"174/12 Dương Quảng Hàm, Gò Vấp, TP. HCM",00:00 - 05:00 | 08:00 - 23:59,0 - 0
147,Bánh Xèo Cô Nguyệt 77 - Nguyễn Văn Quá,"188 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM",16:00 - 22:00,7.000 - 70.000
148,Bánh Tráng Tóp Mỡ Phô Mai Trứng Lòng Đào Gu Tui - Lê Đức Thọ,"1331/15/49Bis Lê Đức Thọ, P. 14, Gò Vấp, TP. HCM",10:30 - 23:00,10.000 - 50.000
149,,,,
150,Nem Nướng Nha Trang Thiện Tâm - Bà Hạt,"006 Lô B, Chung Cư Ấn Quang, Đường Bà Hạt, P. 9, Quận 10, TP. HCM",00:00 - 23:59,0 - 0
151,,,,
152,,,,
153,"Bếp Mẹ Thỏ - Bún, Miến & Phở Trộn Online","135 Ngõ Văn Chương, P. Văn Chương, Đống Đa, Hà Nội",00:00 - 23:59,25.000 - 180.000
154,,,,15.000 - 40.000
155,,,,
156,Bún Đậu Mẹt Minh Thư - Văn Minh,"1 Ngõ Văn Minh, P. Mai Dịch, Cầu Giấy, Hà Nội",09:00 - 23:00,28.000 - 120.000
157,,,,
158,Tiệm Cơm ChisnBa - Cơm Rang Zòn - Ngọc Hồi,"Số 8A, Nơ 2 Khu Đô Thị Pháp Vân, Ngõ 15 Đường Ngọc Hồi, P. Hoàng Liệt, Hoàng Mai, Hà Nội",09:00 - 14:00 | 16:00 - 22:00,0 - 0
159,The Pizza Company - The Manor,"A004 - Tòa The Manor, Mễ Trì, P. Mỹ Đình 1, Nam Từ Liêm, Hà Nội",09:45 - 21:30,22.000 - 669.000
160,Sữa Chua Trân Châu Hạ Long Healthy - Nguyễn Thị Định,"36 Nguyễn Thị Định, P. Nhân Chính, Thanh Xuân, Hà Nội",00:00 - 04:00 | 08:00 - 23:59,20.000 - 40.000
161,,"21 Văn Chương 2, P. Văn Chương, Đống Đa, Hà Nội",05:45 - 20:00,15.000 - 90.000
162,,,,
163,,"18 Trung Kính, P. Trung Hoà, Cầu Giấy, Hà Nội",09:00 - 21:45,0 - 0
164,"Phở Lý Quốc Sư - Phở Bò, Cơm Văn Phòng & Lẩu - Trung Kính","7 Ng. 39 Trung Kính, P. Trung Hòa, Cầu Giấy, Hà Nội",00:00 - 23:59,0 - 0
165,,,,
166,Anh Béo - Bánh Bao & Sủi Cảo - Vũ Phạm Hàm,"120 Vũ Phạm Hàm, P. Yên Hòa, Cầu Giấy, Hà Nội",09:10 - 13:50 | 16:35 - 21:55,0 - 0
167,Anh Béo - Bánh Bao & Sủi Cảo,"131 Nguyễn Ngọc Vũ, P. Trung Hoà, Cầu Giấy, Hà Nội",09:10 - 13:45 | 16:35 - 21:45,10.000 - 40.000
168,Trà Sữa Tocotoco - Nguyễn Tuân,"125 Nguyễn Tuân, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",07:45 - 22:50,0 - 0
169,Nhào Nhẹ 75 - Pizza Sáng Tạo - Trần Điền,"Số 8 Trần Điền, P. Khương Mai, Thanh Xuân, Hà Nội",09:00 - 22:00,0 - 0
170,"Mẹ Jo - Nước Ép, Sinh Tố & Bún Phở Trộn","259 Yên Hoà, P. Yên Hoà, Cầu Giấy, Hà Nội",06:00 - 21:00,35.000 - 50.000
171,Trà sữa LeeTee - Kem Trứng & Trà Hoa Quả - Láng Hạ,"1B Ngõ 87 Láng Hạ, P. Thành Công, Ba Đình, Hà Nội",09:00 - 21:00,20.000 - 60.000
172,Bánh Gà Thần Thánh - 158 Hồng Mai,"11 Ngõ 158 Hồng Mai, P. Bạch Mai, Hai Bà Trưng, Hà Nội",09:00 - 21:00,4.000 - 70.000
173,Matcha Vibe - Tiệm Trà Nhật Bản - 11A Lương Thế Vinh,"Số 11A Lương Thế Vinh, P. Văn Quán, Thanh Xuân, Hà Nội",07:00 - 22:30,0 - 0
174,,,,
175,,,,
176,Bún Cá Chấm Gốc Đa - Phố Nguyễn Thái Học,"30 Phố Nguyễn Thái Học, P. Điện Biên, Hoàn Kiếm, Hà Nội",09:00 - 14:00,30.000 - 50.000
177,Laika Café - 52 Lĩnh Nam,"52 Lĩnh Nam, P. Mai Động, Hoàng Mai, Hà Nội",08:00 - 22:00,0 - 0
178,Phê La - Trà & Cà Phê Đặc Sản - Đại La,"24 Ngõ 128C Đại La, P. Đồng Tâm, Hai Bà Trưng, Hà Nội",07:30 - 22:30,38.000 - 55.000
179,,,,
180,,,,
181,Trà sữa Tiger Hill - Yên Phụ,"77 Yên Phụ, P. Yên Phụ, Tây Hồ, Hà Nội",09:00 - 23:59,15.000 - 30.000
182,,,,
